node_size,seconds
100,0.36
100,0.35
100,0.29
100,0.28
100,0.30
100,0.43
100,0.42
100,5.83
100,0.49
100,0.48
110,0.19
110,0.21
110,0.21
110,0.25
110,0.25
110,0.23
110,6.14
110,0.45
110,0.47
110,0.25
120,1.34
120,0.96
120,0.42
120,0.44
120,0.91
120,0.36
120,0.38
120,0.38
120,1.22
120,0.46
130,0.30
130,0.30
130,0.30
130,0.40
130,0.39
130,0.39
130,0.26
130,0.25
130,0.24
130,0.50
140,1.00
140,1.03
140,8.47
140,0.47
140,0.44
140,0.46
140,2.43
140,1.33
140,1.44
140,0.45
150,0.39
150,0.39
150,1.61
150,4.83
150,12.05
150,1.80
150,0.37
150,0.63
150,0.65
150,3.85
160,3.30
160,1.82
160,0.87
160,4.13
160,1.81
160,2.06
160,2.28
160,1.27
160,9.68
160,1.17
170,3.37
170,1.26
170,2.95
170,4.54
170,2.31
170,0.92
170,1.86
170,4.62
170,4.10
170,2.33
180,5.40
180,1.61
180,5.14
180,3.27
180,13.03
180,2.07
180,34.88
180,4.06
180,1.41
180,9.37
190,1.95
190,2.45
190,10.54
190,9.73
190,1.06
190,4.30
190,8.54
190,18.91
190,0.92
190,1.66
200,8.53
200,1.30
200,1.76
200,7.24
200,15.77
200,1.14
200,4.42
200,4.87
200,1.22
200,2.16
210,2.26
210,1.04
210,2.64
210,6.33
210,8.53
210,2.05
210,3.41
210,3.36
210,41.52
210,5.40
220,1.60
220,2.71
220,0.69
220,2.33
220,7.85
220,4.18
220,3.99
220,10.67
220,9.31
220,3.14
230,8.31
230,4.78
230,1.55
230,7.53
230,1.49
230,3.30
230,1.36
230,1.20
230,1.29
230,1.32
240,6.88
240,5.44
240,3.22
240,6.99
240,2.42
240,10.24
240,9.07
240,2.66
240,13.52
240,1.90
250,3.80
250,8.35
250,38.11
250,5.77
250,6.34
250,2.28
250,2.83
250,2.42
250,2.42
250,6.59
260,0.94
260,6.06
260,4.28
260,12.12
260,7.22
260,14.35
260,7.77
260,22.45
260,3.87
260,6.40
270,3.79
270,33.42
270,4.23
270,6.09
270,2.69
270,1.11
270,4.83
270,27.84
270,4.03
270,2.58
280,32.56
280,24.58
280,1.45
280,1.83
280,2.59
280,9.66
280,5.32
280,4.48
280,13.42
280,10.96
290,5.91
290,9.41
290,16.97
290,3.50
290,8.75
290,3.11
290,13.59
290,47.93
290,5.96
290,1.99
300,8.40
300,1.72
300,3.82
300,4.88
300,2.72
300,1.74
300,4.58
300,15.42
300,1.31
300,6.75
310,6.22
310,37.47
310,1.16
310,1.60
310,9.34
310,13.52
310,9.40
310,17.61
310,4.73
310,16.12
320,6.64
320,24.54
320,2.81
320,3.40
320,3.46
320,4.34
320,3.36
320,39.98
320,10.14
320,13.99
330,3.43
330,8.98
330,37.34
330,4.19
330,18.83
330,14.39
330,7.39
330,2.19
330,21.25
330,19.00
340,8.60
340,7.01
340,2.85
340,9.00
340,3.73
340,2.48
340,61.70
340,29.02
340,17.28
340,3.64
350,19.98
350,7.69
350,6.67
350,19.13
350,26.21
350,1.48
350,21.37
350,6.85
350,17.84
350,32.69
360,9.78
360,12.85
360,3.09
360,9.45
360,25.36
360,9.19
360,7.93
360,17.94
360,14.00
360,7.33
370,7.39
370,3.96
370,37.17
370,88.35
370,95.77
370,3.19
370,15.25
370,9.22
370,22.62
370,8.66
380,11.58
380,6.96
380,14.64
380,26.28
380,7.58
380,8.86
380,12.25
380,19.66
380,18.38
380,86.91
390,8.18
390,27.44
390,11.82
390,5.55
390,12.96
390,9.65
390,8.73
390,29.05
390,20.05
390,3.42
400,8.76
400,20.93
400,54.25
400,78.40
400,63.37
400,26.15
400,18.21
400,60.14
400,6.99
400,3.56
410,45.04
410,194.13
410,15.45
410,73.19
410,15.75
410,60.08
410,36.81
410,5.23
410,7.06
410,39.83
420,91.98
420,95.50
420,13.14
420,26.71
420,22.74
420,9.27
420,76.60
420,54.62
420,5.48
420,81.37
430,40.74
430,26.53
430,6.33
430,9.22
430,2.63
430,88.33
430,6.82
430,16.74
430,19.51
430,46.54
440,23.14
440,20.93
440,15.62
440,14.78
440,60.30
440,36.59
440,35.03
440,15.36
440,44.91
440,20.91
450,4.81
450,9.85
450,13.20
450,18.18
450,32.61
450,13.09
450,20.02
450,19.30
450,68.25
450,44.84
460,49.23
460,15.39
460,105.98
460,16.18
460,139.90
460,10.50
460,6.14
460,26.41
460,39.36
460,15.32
470,18.38
470,9.96
470,184.75
470,99.66
470,29.96
470,22.17
470,10.42
470,6.18
470,33.27
470,72.31
480,21.18
480,9.35
480,27.82
480,36.05
480,22.27
480,9.49
480,12.04
480,17.49
480,89.09
480,15.45
490,52.91
490,38.41
490,132.59
490,3.97
490,13.98
490,7.75
490,81.65
490,23.00
490,40.95
490,28.72
500,7.44
500,18.99
500,18.12
500,18.10
500,19.59
500,9.56
500,160.18
500,11.84
500,22.74
500,27.51
510,321.46
510,16.07
510,57.68
510,77.42
510,4.74
510,6.39
510,4.21
510,17.00
510,73.13
510,9.98
520,19.74
520,26.39
520,40.83
520,33.32
520,10.30
520,30.69
520,102.54
520,22.04
520,52.10
520,26.10
530,373.52
530,5.83
530,32.87
530,107.54
530,10.96
530,6.88
530,14.74
530,59.71
530,83.45
530,191.11
540,65.73
540,54.00
540,37.44
540,9.68
540,14.73
540,16.96
540,51.32
540,120.98
540,49.28
540,28.97
550,19.35
550,35.00
550,33.13
550,76.05
550,24.68
550,173.64
550,13.18
550,51.34
550,199.00
550,26.23
560,44.86
560,127.79
560,6.10
560,6.44
560,72.12
560,31.89
560,79.74
560,28.89
560,91.44
560,125.45
570,21.60
570,28.50
570,50.77
570,58.71
570,108.65
570,79.65
570,28.43
570,27.13
570,20.12
570,51.30
580,38.06
580,75.02
580,128.43
580,54.54
580,37.50
580,120.84
580,14.27
580,29.95
580,30.59
580,73.47
590,87.18
590,275.91
590,266.89
590,63.84
590,9.83
590,12.17
590,26.00
590,93.92
590,35.41
590,33.70
600,8.48
600,11.60
600,85.03
600,58.45
600,66.61
600,41.17
600,35.77
600,11.55
600,134.73
600,67.53
610,102.05
610,71.26
610,78.49
610,150.40
610,79.26
610,17.55
610,102.34
610,13.19
610,10.53
610,272.89
620,31.51
620,198.39
620,52.76
620,241.12
620,262.87
620,90.75
620,21.09
620,14.53
620,30.75
620,8.65
630,63.90
630,11.50
630,132.83
630,40.81
630,23.77
630,59.48
630,135.62
630,27.99
630,11.08
630,70.21
640,51.83
640,128.55
640,56.56
640,108.31
640,411.94
640,49.48
640,12.66
640,30.44
640,13.68
640,45.25
650,439.28
650,114.53
650,30.00
650,78.98
650,171.71
650,22.62
650,88.48
650,23.82
650,88.33
650,47.17
660,299.41
660,758.55
660,131.88
660,115.26
660,156.76
660,14.14
660,105.56
660,18.56
660,257.88
660,102.13
670,73.45
670,160.44
670,111.48
670,26.13
670,252.86
670,74.61
670,202.33
670,76.69
670,228.81
670,501.08
680,642.23
680,263.18
680,339.06
680,94.71
680,47.16
680,56.64
680,176.36
680,365.49
680,54.76
680,179.27
690,57.09
690,283.16
690,7.27
690,62.39
690,41.76
690,66.52
690,27.03
690,45.18
690,23.49
690,38.43
700,19.14
700,119.03
700,234.26
700,34.51
700,197.05
700,720.56
700,70.79
700,68.86
700,406.71
700,46.74
710,166.90
710,91.61
710,23.81
710,13.49
710,37.92
710,325.36
710,107.79
710,56.86
710,35.26
710,141.01
720,42.15
720,48.66
720,52.03
720,30.95
720,48.34
720,316.68
720,99.39
720,153.56
720,26.22
720,160.52
730,18.42
730,61.68
730,192.51
730,188.94
730,354.64
730,63.39
730,22.31
730,41.05
730,9.59
730,98.58
740,153.11
740,137.49
740,36.49
740,108.09
740,64.84
740,14.63
740,41.03
740,119.49
740,349.38
740,62.23
750,23.87
750,27.20
750,83.24
750,40.56
750,492.58
750,26.60
750,446.36
